



,,CAN ID,Total,Times,Times in,Times on Target,Times before Target,Times after Target,Max. Jitter,Av. Period,Max. Period,Min. Period,Offset,Dif
,,,(logs),frozen for,sequence,(logs),(logs),(logs),(us),(us),(us),(us),(us),(us)
,,0x18B,45111,45111,1327,1327,0,16371,81458,50377,100482,19024,274,274
,,0x188,45111,45111,7024,7024,0,10674,81378,50328,100472,19094,614,340
,,0x20D,45109,45109,13243,13243,0,4455,92210,23998,100354,8144,3329,2715
,,0x287,45107,45107,14054,14054,0,3644,92192,22265,100338,8146,3589,260
,,0x289,45110,45110,15611,15611,0,2087,91873,21045,100017,8144,3847,258
,,0x28B,45111,45111,15748,15748,0,1950,91881,20820,100009,8128,4105,258
,,0x28D,45109,45109,15711,15711,0,1987,73451,20559,81590,8139,4363,258
,,0x307,45107,45107,15964,15964,0,1734,73273,20327,81412,8139,4619,256
,,0x309,45110,45110,16159,16159,0,1539,52103,20202,60240,8137,4875,256
,,0x30B,45111,45111,16185,16185,0,1513,52105,20183,60242,8137,5131,256
,,0x30D,45109,45109,16164,16164,0,1534,52007,20143,60141,8134,5387,256
,,0x387,45107,45107,15923,15923,0,1775,92067,20887,100205,8138,5645,258
,,0x389,45110,45110,16089,16089,0,1609,92065,20887,100223,8158,5903,258
,,0x38B,45111,45111,16146,16146,0,1552,92069,20880,100223,8154,6169,266
,,0x38D,45109,45109,16055,16055,0,1643,92072,20863,100228,8156,6437,268
,,0x407,45107,45107,16433,16433,0,1265,91923,20841,100085,8162,6863,426
,,0x409,45110,45110,16499,16499,0,1199,71987,20046,80155,8168,7117,254
,,0x40B,45111,45111,16610,16610,0,1088,51956,20041,60126,8170,7368,251
,,0x40D,45109,45109,16774,16774,0,924,51965,20035,60136,8171,7616,248
,,0x709,9018,9018,453,453,0,14531,19855,99878,100499,80644,9720,2104
,,0x70B,9018,9018,1247,1247,0,16185,3267,99927,100495,97228,12728,3008
,,0x707,9018,9018,841,841,0,16713,2703,99901,100498,97795,12870,142
,,0x187,45107,45106,7058,7058,0,10640,81726,41653,100485,18759,20644,7774
,,0x189,45110,45109,1844,1844,0,15854,83770,36811,100495,16725,20918,274
,,0x18A,45111,45110,2335,2335,0,15363,91752,36176,100498,8746,21192,274
,,0x18D,45109,45108,2943,2943,0,14755,82085,45313,100498,18413,21494,302
,,0x18C,45111,45110,3067,3067,0,14631,81817,47759,100496,18679,21760,266
,,0x207,45107,45106,3110,3110,0,14588,86315,42095,100499,14184,22021,261
,,0x18E,45111,45110,3733,3733,0,13965,82567,42897,100499,17932,22287,266
,,0x209,45110,45109,2134,2134,0,15564,82573,41828,100499,17926,22549,262
,,0x20B,45111,45110,5811,5811,0,11887,84280,26136,100474,16194,22799,250
,,0x70D,9018,9018,974,974,0,16686,16252,99953,100498,84246,27368,4569
,,0x385,45111,45104,1433,1433,0,16264,81275,54450,100490,19215,140248,112880
